,SiO2,B2O3,Al2O3,Li2O,Na2O,K2O,MgO,CaO,SrO,BaO,ZnO,Fe2O3,TiO2,Total
M.W.,60.09,69.62,101.96,29.88,61.98,94.2,40.31,56.08,103.62,153.7,81.39,159.7,80.9,
EPK,49.44,,35.46,,,0.4,0.16,0.05,,,,0.51,0.36,86.38
Flint,98.54,,0.42,,,,0.01,0.01,,,,0.06,0.06,99.1
Neph Sy,61.95,,22.1,,10.29,4.4,0.03,0.36,,,,0.04,,99.17
Whiting,,,,,,,,56.03,,,,,0.01,56.04
Bentonite,64.3,,20.7,,2.9,,2.3,0.45,,,,0.11,0.01,90.77
Calcined Kaolin,52.29,,43.8,,0.14,0.05,0.03,0.07,,,,0.44,,96.82
3124 (Frit),55.31,13.77,9.9,,6.24,0.68,,14.11,,,,,0.03,100.03

3134 (Frit),47.42,20.32,,,10.32,,,21.94,,,,,,100
Gerstley Borate,14.8,26.8,1.32,,4.33,0.42,3.69,19.39,0.34,0.04,,0.39,0.03,71.55
Minspar,69.1,,18.65,,6.24,4.04,0.01,1.31,0.02,0.05,,0.07,,99.49
Mahavir,67,,17.5,,3,11.5,0.15,0.15,,,,0.08,,99.38
Custer,67.6,,17.2,,4.5,10,,0.3,,,,0.1,0.11,99.81
G200 EU,68.58,,17,,2.1,11,0.08,0.5,,,,0.1,,99.36
Spodumene,64.92,,26.67,7.65,0.15,0.08,0,0.05,0,0,,0.07,,99.59
Talc,53.5,,0.3,,,0.3,29.5,3.5,0,,,0.5,0.05,87.65
Magnesium Carbonate,,,,,,,48.99,,,,,,0.1,49.09
Dolomite,,,,,,,21.85,30.41,,,,,,52.26
Wollastonite,50.47,0,0.82,,0.1,0.12,1.12,43.53,,,,0.46,0.02,96.64
Strontium Carb,,,,,,,,,70.19,,,,,70.19
Barium Carb,,,,,,,,,,77.89,,,,77.89
Zinc Oxide,,,,,,,,,,,100,,,100
Ball Clay,61.5,,25.1,,0.16,2.88,0.77,0.06,,,,1,1.27,92.74
Silica/Quartz/Flint,99.5,,,,,,,,,,,0.1,,99.6
Potassium/Kalium Feldspar,64.76,,18.32,,,16.92,,,,,,,,100
Sodium/Natrium Feldspar,68.74,,19.44,,11.82,,,,,,,,,100
Kaolin/China Clay,47.29,,40.21,,,,,,,,,,,87.5
Lithium Carb,,,,40.37,,,,,,,,,0.01,40.38
Soda Ash,,,,,58,,,,,,,,0.05,58.05
Pearl Ash,,,,,,68,,,,,,,1.42,69.42
3110 (Frit),69.43,2.59,3.93,,15.52,2.18,,6.26,,,,,0,99.91
3195 (Frit),48.35,22.62,11.98,,5.69,,,11.36,,,,,,100
F-367 (Frit),53.8,38.4,,,7.2,,,,,,,,,99.4
Grolleg,43.42,,32.17,,0.2,1.61,0.32,0.12,,,,0.74,,78.58
OM4,53,,30.8,,0.3,2.84,0.3,0.4,,,,0.8,,88.44
Alberta Slip,53.54,,15.2,,2.2,3.5,3.9,5.9,,,,4.5,,88.74
Bone Ash,0.58,,0.07,,0.06,0.04,0.06,39.85,,,,0.04,,40.7
Red Art,54.3,,16.4,,0.4,4.07,1.55,0.23,,,,7.04,,83.99
VeeGum,54.92,,0.99,1,1.78,0.11,24.34,4.46,,,,0.14,,87.74
F-12 (Frit),45,23.8,0.8,,10.4,,,20,,,,,,100
F-13 (Frit),50.35,18.5,4.5,,8.5,0.15,,18,,,,,,100
3269 (Frit),51.23,15.06,12.4,,10.97,7.42,,0.41,,,,,,97.49
3249 (Frit),42.1,28.9,13.3,,,,12.2,3.5,,,,,,100
3221 (Frit),,55.4,,,,,,44.6,,,,,,100
3185 (Frit),54.1,38.2,,,7.7,,,,,,,,,100
Laguna Borate,18.68,27.47,8.09,,4,1.4,2.3,18.88,0,0,,0.1,0.05,80.97
Cadycal,0.5,47,0.1,,0.1,0.01,0.24,26,0.03,,,,,73.98
Ferro CC-263,50,20,11,,2.5,3,1,9,3,,,,0.5,100
Calcium Borate,,62.09,,,,,,16.6,,,,,,78.69
Borax,0.23,13.42,0.05,,20.27,0.02,0.01,0.01,0,0,,,,34.01
Boric Acid,0.16,16.98,0.03,,0.01,0.02,0.05,0.04,0,0,,0.04,0.01,17.34
Petalite,75.47,,16.1,2.25,0.28,0.15,0.05,0.11,0,0,,0.06,0.01,94.48
Fortispar,64.85,,18.06,,1.25,13.18,0.3,0.14,,,,0.07,,97.85
Plastic Vitrox,77.15,,12.92,,1.5,4.9,0.07,0.5,,,,0.23,0.37,97.64
Cornwall,74.73,,14.28,,2.95,3.72,0.11,1.47,,,,0.2,0.04,97.5
NYTalc,50.76,,0.23,,0.14,0.15,30.93,7.67,,,,0.06,0.03,89.97
Silverline Talc,62,,0.5,,,,31,1,,,,0.5,,95
Kona F-4,68.5,,18.56,,6.22,4.61,0.01,1.45,,,,0.07,,99.42
NC-4,69.94,,17.47,,6.37,3.81,0.02,1.38,,,,0.1,0.02,99.11
Custer -Old,69.6,,16.24,,2.1,10.33,0.08,0.32,,,,0.26,0.11,99.04
Tile 6,46.9,,38.2,,0.04,0,0.58,0.43,,,,0.35,1.42,87.92
Helmar,46.7,,35.4,,0.08,0.53,0.26,0.48,,,,1.3,1.13,85.88
C & C,53.96,,29.34,,0.12,0.25,0.3,0.37,,,,0.98,1.64,86.96
Tenn #10,54.2,,30.59,,0.11,0.34,0.18,0.5,,,,0.78,2.32,89.02
XX Sagger,57.4,,28.9,,0.3,0.9,0.3,0.5,,,,0.7,1.7,90.7
Hawthorn Bond,55.1,,39.11,,0.24,1.24,0.85,0.15,,,,1.02,2.08,99.79
Albany Slip,58,,14,,0.8,3.25,2.2,6,,,,5.2,0.8,90.25
Alfred Shale,57.56,,18.9,,0.46,4.41,1.8,0.36,,,,8.19,1,92.68
Barnard,45.6,,15.81,,0.03,2.63,1.02,0.13,,,,19.39,0.8,85.41
Gold Art,55.53,,27.19,,0.16,1.27,0.46,0.2,,,,1.31,1.98,88.1
Yellow Banks 101,57.76,,25.21,,0.25,2.79,0.71,0.23,0.01,0.05,,2.29,1.26,90.57
Yellow Banks 401,54.61,,30.91,,0.03,0.01,0.97,0.38,,,,1.46,0.82,89.19
Hard Wood Ash,10,,1,,6,11,9,51,,,,1,,89
Cryolite,0.32,,26.27,,39.47,0.04,0.07,0.74,,,,0.06,,66.97
Flurospar,1.06,,0.23,,0.16,0.06,0.04,75.21,,,,0.07,0.06,76.89
Alumina Hydrate,,,65.39,,,,,,,,,,,65.39
Aluminuim Oxide,,,,,,,,,,,,,,0
Rutile,,,0.3,,,,,,,,,,96.1,
"Iron Oxide, Red",,,,,,,,,,,,95,,95
Kona F-4 Feldspar,66.7,,19.6,,6.9,4.8,,1.7,,,,,,99.7
Ione Kaolin,48.6,,34.4,,0.15,0.15,0.1,0.1,,,,0.6,2.8,86.9
Helmer Kaolin,46, ,36, ,0.08,0.53,0.26,0.48,,,,1.3,1.13,85.78
